team,home_points_total,away_points_total,total_points
Liverpool,57,48,105
Man City,54,48,102
Arsenal,57,42,99
Chelsea,53,42,95
Bournemouth,45,25,70
Newcastle,51,18,69
Tottenham,45,19,64
Man United,45,10,55
Nott'm Forest,40,13,53
Brighton,33,18,51
Brentford,45,5,50
Aston Villa,47,3,50
Fulham,26,20,46
Everton,42,2,44
Crystal Palace,24,9,33
Wolves,26,4,30
Leeds,27,0,27
Sunderland,24,0,24
West Ham,21,3,24
Burnley,11,0,11
