#,Club,,Expenditure,Arrivals,Income,Departures,Balance,season_start
7,West Ham United,West Ham United,€119.80m,10,€55.73m,17,€-64.07m,2019
8,Wolverhampton Wanderers,Wolverhampton Wanderers,€116.70m,28,€24.10m,26,€-92.60m,2019
9,Leicester City,Leicester City,€104.30m,13,€88.50m,13,€-15.80m,2019
10,Sheffield United,Sheffield United,€72.50m,23,€350k,21,€-72.15m,2019
11,Newcastle United,Newcastle United,€72.40m,13,€35.64m,11,€-36.76m,2019
12,Brighton & Hove Albion,Brighton & Hove Albion,€61.74m,25,€8.50m,30,€-53.24m,2019
13,Southampton FC,Southampton FC,€61.50m,14,€27.30m,17,€-34.20m,2019
14,Watford FC,Watford FC,€56.00m,21,€29.40m,21,€-26.60m,2019
15,AFC Bournemouth,AFC Bournemouth,€54.91m,13,€34.63m,12,€-20.29m,2019
16,Chelsea FC,Chelsea FC,€45.00m,22,€165.07m,29,€120.07m,2019
17,Burnley FC,Burnley FC,€23.85m,8,€13.55m,11,€-10.30m,2019
18,Liverpool FC,Liverpool FC,€10.40m,15,€48.00m,16,€37.60m,2019
19,Norwich City,Norwich City,€8.82m,22,€2.20m,27,€-6.62m,2019
20,Crystal Palace,Crystal Palace,€7.60m,13,€55.38m,15,€47.78m,2019
1,Chelsea FC,Chelsea FC,€267.20m,31,€57.15m,26,€-210.05m,2020
2,Manchester City,Manchester City,€173.40m,27,€64.00m,27,€-109.40m,2020
3,Leeds United,Leeds United,€127.80m,16,-,16,€-127.80m,2020
4,Tottenham Hotspur,Tottenham Hotspur,€110.50m,15,€13.30m,11,€-97.20m,2020
5,Aston Villa,Aston Villa,€101.35m,12,€2.77m,15,€-98.58m,2020
6,Wolverhampton Wanderers,Wolverhampton Wanderers,€87.59m,21,€79.20m,23,€-8.39m,2020
7,Arsenal FC,Arsenal FC,€86.00m,16,€19.15m,16,€-66.85m,2020
8,Liverpool FC,Liverpool FC,€84.80m,17,€17.20m,13,€-67.60m,2020
9,Manchester United,Manchester United,€83.95m,17,€19.50m,17,€-64.45m,2020
10,Everton FC,Everton FC,€74.37m,20,€4.43m,20,€-69.95m,2020
11,Sheffield United,Sheffield United,€62.70m,16,-,19,€-62.70m,2020
12,Leicester City,Leicester City,€59.40m,19,€53.77m,18,€-5.63m,2020
13,West Ham United,West Ham United,€54.70m,16,€45.41m,17,€-9.29m,2020
14,Brighton & Hove Albion,Brighton & Hove Albion,€50.10m,28,€20.60m,22,€-29.50m,2020
15,West Bromwich Albion,West Bromwich Albion,€42.14m,23,€8.10m,22,€-34.04m,2020
16,Newcastle United,Newcastle United,€38.75m,10,€780k,15,€-37.97m,2020
17,Southampton FC,Southampton FC,€37.30m,23,€26.30m,18,€-11.00m,2020
18,Fulham FC,Fulham FC,€37.25m,23,-,19,€-37.25m,2020
19,Crystal Palace,Crystal Palace,€22.40m,12,€20.00m,8,€-2.40m,2020
20,Burnley FC,Burnley FC,€1.10m,6,€2.30m,6,€1.20m,2020
1,Arsenal FC,Arsenal FC,€167.40m,13,€31.40m,20,€-136.00m,2021
2,Manchester United,Manchester United,€142.00m,16,€31.10m,14,€-110.90m,2021
3,Manchester City,Manchester City,€138.90m,22,€93.80m,24,€-45.10m,2021
4,Newcastle United,Newcastle United,€130.50m,12,-,10,€-130.50m,2021
5,Aston Villa,Aston Villa,€129.80m,22,€127.00m,18,€-2.80m,2021
6,Chelsea FC,Chelsea FC,€118.00m,21,€157.59m,23,€39.59m,2021
7,Tottenham Hotspur,Tottenham Hotspur,€95.90m,14,€34.62m,19,€-61.28m,2021
8,Liverpool FC,Liverpool FC,€89.00m,14,€31.65m,12,€-57.35m,2021
9,Crystal Palace,Crystal Palace,€85.62m,13,-,15,€-85.62m,2021
10,Brighton & Hove Albion,Brighton & Hove Albion,€75.58m,26,€78.80m,29,€3.22m,2021
11,West Ham United,West Ham United,€74.50m,10,€4.24m,8,€-70.27m,2021
12,Leicester City,Leicester City,€67.60m,11,€4.00m,11,€-63.60m,2021
13,Norwich City,Norwich City,€63.55m,32,€38.40m,30,€-25.15m,2021
14,Southampton FC,Southampton FC,€63.40m,10,€60.35m,14,€-3.05m,2021
15,Leeds United,Leeds United,€59.30m,13,-,15,€-59.30m,2021
16,Burnley FC,Burnley FC,€49.40m,8,€40.50m,6,€-8.90m,2021
17,Watford FC,Watford FC,€43.50m,31,€12.85m,29,€-30.65m,2021
18,Everton FC,Everton FC,€39.50m,13,€46.00m,15,€6.50m,2021
19,Brentford FC,Brentford FC,€38.20m,19,€1.00m,15,€-37.20m,2021
20,Wolverhampton Wanderers,Wolverhampton Wanderers,€37.60m,24,€31.80m,22,€-5.80m,2021
1,Chelsea FC,Chelsea FC,€630.25m,28,€67.86m,25,€-562.39m,2022
2,Manchester United,Manchester United,€243.15m,24,€23.65m,19,€-219.50m,2022
3,Nottingham Forest,Nottingham Forest,€198.35m,42,€5.00m,26,€-193.35m,2022
4,West Ham United,West Ham United,€196.60m,12,€21.55m,13,€-175.05m,2022
5,Arsenal FC,Arsenal FC,€186.40m,25,€23.80m,18,€-162.60m,2022
6,Newcastle United,Newcastle United,€185.00m,15,€14.06m,12,€-170.94m,2022
7,Tottenham Hotspur,Tottenham Hotspur,€179.90m,15,€38.75m,14,€-141.15m,2022
8,Wolverhampton Wanderers,Wolverhampton Wanderers,€179.51m,31,€64.87m,27,€-114.64m,2022
9,Leeds United,Leeds United,€163.89m,24,€114.50m,19,€-49.39m,2022
10,Manchester City,Manchester City,€155.00m,29,€162.17m,24,€7.17m,2022
11,Southampton FC,Southampton FC,€154.21m,21,€5.50m,14,€-148.71m,2022
12,Liverpool FC,Liverpool FC,€145.80m,11,€80.10m,13,€-65.70m,2022
13,Aston Villa,Aston Villa,€113.00m,23,€54.00m,22,€-59.00m,2022
14,AFC Bournemouth,AFC Bournemouth,€91.20m,17,-,13,€-91.20m,2022
15,Everton FC,Everton FC,€83.07m,19,€103.60m,21,€20.53m,2022
16,Fulham FC,Fulham FC,€76.10m,20,€25.40m,21,€-50.70m,2022
17,Brighton & Hove Albion,Brighton & Hove Albion,€55.70m,21,€138.40m,23,€82.70m,2022
18,Brentford FC,Brentford FC,€49.25m,23,€3.60m,21,€-45.65m,2022
19,Leicester City,Leicester City,€49.00m,10,€81.40m,9,€32.40m,2022
20,Crystal Palace,Crystal Palace,€46.60m,16,€5.46m,13,€-41.15m,2022
1,Chelsea FC,Chelsea FC,€464.10m,30,€282.20m,32,€-181.90m,2023
2,Tottenham Hotspur,Tottenham Hotspur,€272.10m,27,€120.70m,22,€-151.40m,2023
3,Manchester City,Manchester City,€259.60m,19,€138.80m,21,€-120.80m,2023
4,Arsenal FC,Arsenal FC,€235.10m,15,€69.20m,16,€-165.90m,2023
5,Manchester United,Manchester United,€210.70m,16,€63.77m,24,€-146.93m,2023
6,Liverpool FC,Liverpool FC,€172.00m,14,€60.70m,18,€-111.30m,2023
7,Newcastle United,Newcastle United,€148.10m,16,€44.60m,15,€-103.50m,2023
8,West Ham United,West Ham United,€144.56m,10,€172.86m,11,€28.30m,2023
9,Nottingham Forest,Nottingham Forest,€131.63m,35,€82.82m,41,€-48.81m,2023
10,AFC Bournemouth,AFC Bournemouth,€129.89m,23,€1.50m,21,€-128.39m,2023
11,Aston Villa,Aston Villa,€111.50m,14,€33.16m,14,€-78.34m,2023
12,Burnley FC,Burnley FC,€111.05m,30,€3.80m,22,€-107.25m,2023
13,Brighton & Hove Albion,Brighton & Hove Albion,€106.85m,28,€189.00m,22,€82.15m,2023
14,Wolverhampton Wanderers,Wolverhampton Wanderers,€94.00m,26,€169.20m,31,€75.20m,2023
15,Fulham FC,Fulham FC,€73.17m,15,€53.20m,16,€-19.97m,2023
16,Brentford FC,Brentford FC,€72.35m,19,€10.25m,16,€-62.10m,2023
17,Crystal Palace,Crystal Palace,€67.80m,8,-,9,€-67.80m,2023
18,Sheffield United,Sheffield United,€66.95m,18,€30.90m,15,€-36.05m,2023
19,Everton FC,Everton FC,€40.50m,16,€82.80m,16,€42.30m,2023
20,Luton Town,Luton Town,€25.90m,28,€300k,25,€-25.60m,2023
1,Chelsea FC,Chelsea FC,€281.90m,32,€239.00m,32,€-42.90m,2024
2,Brighton & Hove Albion,Brighton & Hove Albion,€281.45m,23,€49.99m,25,€-231.46m,2024
3,Manchester United,Manchester United,€246.30m,18,€117.20m,19,€-129.10m,2024
4,Manchester City,Manchester City,€243.00m,15,€141.70m,13,€-101.30m,2024
