team,home_points_total,away_points_total,total_points
Liverpool,54,54,108
Man City,57,49,106
Arsenal,54,42,96
Chelsea,54,39,93
Brighton,39,33,72
Bournemouth,33,38,71
Tottenham,38,30,68
Newcastle,50,13,63
Aston Villa,48,13,61
Nott'm Forest,39,20,59
Brentford,37,19,56
Crystal Palace,28,22,50
Fulham,28,18,46
Wolves,24,18,42
Everton,29,11,40
Man United,26,13,39
West Ham,18,8,26
Leeds,6,3,9
Sunderland,5,3,8
Burnley,0,5,5
