team,home_points_total,away_points_total,total_points
Man City,57,47,104
Liverpool,52,51,103
Arsenal,50,39,89
Chelsea,48,41,89
Bournemouth,32,37,69
Newcastle,43,24,67
Crystal Palace,32,31,63
Tottenham,35,27,62
Nott'm Forest,36,22,58
Aston Villa,42,16,58
Brighton,26,26,52
Man United,34,16,50
Brentford,30,17,47
Fulham,20,17,37
Wolves,21,12,33
West Ham,19,8,27
Everton,21,4,25
Burnley,4,4,8
Leeds,6,1,7
Sunderland,6,0,6
